gene.x,gene.y,weight.Integrated_score,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Integrated score,interaction,name,selected,shared interaction,shared name
MED12,MED26,0.579,0,0.004,0.138,0.612,0.206,0.071,0.579,interacts-with,MED12 (interacts-with) MED26,FALSE,interacts-with,MED12 (interacts-with) MED26
MED12,MED29,0.625,0,0.012,0.128,0.609,0.234,0.074,0.625,interacts-with,MED12 (interacts-with) MED29,FALSE,interacts-with,MED12 (interacts-with) MED29
PPP2R2D,PPP2R5D,0.463,0,0.008,0.186,0.423,0.1,0.48,0.463,interacts-with,PPP2R2D (interacts-with) PPP2R5D,FALSE,interacts-with,PPP2R2D (interacts-with) PPP2R5D
PPP2R2D,PPP4C,0.428,0,0.008,0.14,0.487,0.198,0.036,0.428,interacts-with,PPP2R2D (interacts-with) PPP4C,FALSE,interacts-with,PPP2R2D (interacts-with) PPP4C
DPYSL2,MAP1A,0.292,0,0.022,0.16,0.167,0.456,0.007,0.292,interacts-with,DPYSL2 (interacts-with) MAP1A,FALSE,interacts-with,DPYSL2 (interacts-with) MAP1A
DPYSL2,TLN1,0.311,0,0.051,0.183,0.152,0.583,0.003,0.311,interacts-with,DPYSL2 (interacts-with) TLN1,FALSE,interacts-with,DPYSL2 (interacts-with) TLN1
PPP2R5D,PPP4C,0.576,0,0.158,0.18,0.51,0.194,0.003,0.576,interacts-with,PPP2R5D (interacts-with) PPP4C,FALSE,interacts-with,PPP2R5D (interacts-with) PPP4C
PPP2R5D,PRR14,0.202,0,0.055,0.178,0.412,0.127,0.036,0.202,interacts-with,PPP2R5D (interacts-with) PRR14,FALSE,interacts-with,PPP2R5D (interacts-with) PRR14
MED13L,MED24,0.457,0,0.287,0.146,0.509,0.106,0.036,0.457,interacts-with,MED13L (interacts-with) MED24,FALSE,interacts-with,MED13L (interacts-with) MED24
MED13L,MED26,0.464,0,0.074,0.114,0.507,0.129,0.036,0.464,interacts-with,MED13L (interacts-with) MED26,FALSE,interacts-with,MED13L (interacts-with) MED26
MED13L,MED20,0.449,0,0.056,0.143,0.516,0.167,0.036,0.449,interacts-with,MED13L (interacts-with) MED20,FALSE,interacts-with,MED13L (interacts-with) MED20
MED13L,MED23,0.525,0,0.254,0.234,0.528,0.15,0.036,0.525,interacts-with,MED13L (interacts-with) MED23,FALSE,interacts-with,MED13L (interacts-with) MED23
MED13L,MED29,0.546,0,0.02,0.143,0.53,0.191,0.036,0.546,interacts-with,MED13L (interacts-with) MED29,FALSE,interacts-with,MED13L (interacts-with) MED29
MED13L,MED16,0.564,0,0.206,0.143,0.534,0.237,0.036,0.564,interacts-with,MED13L (interacts-with) MED16,FALSE,interacts-with,MED13L (interacts-with) MED16
MED13L,MED17,0.449,0,0.143,0.177,0.518,0.217,0.036,0.449,interacts-with,MED13L (interacts-with) MED17,FALSE,interacts-with,MED13L (interacts-with) MED17
MED13L,MED19,0.447,0,0.366,0.16,0.458,0.213,0.036,0.447,interacts-with,MED13L (interacts-with) MED19,FALSE,interacts-with,MED13L (interacts-with) MED19
MED13L,MED14,0.47,0,0.008,0.225,0.511,0.213,0.036,0.47,interacts-with,MED13L (interacts-with) MED14,FALSE,interacts-with,MED13L (interacts-with) MED14
MED13L,MED15,0.528,0,0.312,0.139,0.52,0.173,0.036,0.528,interacts-with,MED13L (interacts-with) MED15,FALSE,interacts-with,MED13L (interacts-with) MED15
MED14,MED29,0.529,0,0.012,0.137,0.543,0.251,0.015,0.529,interacts-with,MED14 (interacts-with) MED29,FALSE,interacts-with,MED14 (interacts-with) MED29
MED14,MED26,0.549,0,0.004,0.074,0.574,0.265,0.094,0.549,interacts-with,MED14 (interacts-with) MED26,FALSE,interacts-with,MED14 (interacts-with) MED26
MED14,MED15,0.638,0,0.012,0.156,0.611,0.181,0.134,0.638,interacts-with,MED14 (interacts-with) MED15,FALSE,interacts-with,MED14 (interacts-with) MED15
MED14,MED16,0.63,0,0.011,0.163,0.541,0.4,0,0.63,interacts-with,MED14 (interacts-with) MED16,FALSE,interacts-with,MED14 (interacts-with) MED16
MED14,MED23,0.681,0,0.011,0.23,0.581,0.383,0.089,0.681,interacts-with,MED14 (interacts-with) MED23,FALSE,interacts-with,MED14 (interacts-with) MED23
MED14,MED24,0.707,0,0.012,0.182,0.557,0.436,0.015,0.707,interacts-with,MED14 (interacts-with) MED24,FALSE,interacts-with,MED14 (interacts-with) MED24
MED14,MED17,0.748,0,0.012,0.163,0.617,0.43,0.077,0.748,interacts-with,MED14 (interacts-with) MED17,FALSE,interacts-with,MED14 (interacts-with) MED17
MED14,MED19,0.489,0,0.003,0.155,0.468,0.385,0.076,0.489,interacts-with,MED14 (interacts-with) MED19,FALSE,interacts-with,MED14 (interacts-with) MED19
MED14,MED20,0.608,0,0.003,0.113,0.554,0.283,0.203,0.608,interacts-with,MED14 (interacts-with) MED20,FALSE,interacts-with,MED14 (interacts-with) MED20
PPP4C,PRR14,0.181,0,0.331,0.253,0.239,0.089,0.036,0.181,interacts-with,PPP4C (interacts-with) PRR14,FALSE,interacts-with,PPP4C (interacts-with) PRR14
MED15,MED16,0.617,0,0.343,0.162,0.543,0.2,0.005,0.617,interacts-with,MED15 (interacts-with) MED16,FALSE,interacts-with,MED15 (interacts-with) MED16
MED15,MED17,0.552,0,0.029,0.147,0.54,0.215,0.008,0.552,interacts-with,MED15 (interacts-with) MED17,FALSE,interacts-with,MED15 (interacts-with) MED17
MED15,MED19,0.583,0,0.45,0.153,0.482,0.31,0.081,0.583,interacts-with,MED15 (interacts-with) MED19,FALSE,interacts-with,MED15 (interacts-with) MED19
MED15,MED24,0.568,0,0.361,0.201,0.535,0.216,0.011,0.568,interacts-with,MED15 (interacts-with) MED24,FALSE,interacts-with,MED15 (interacts-with) MED24
MED15,MED26,0.549,0,0.236,0.199,0.559,0.161,0.015,0.549,interacts-with,MED15 (interacts-with) MED26,FALSE,interacts-with,MED15 (interacts-with) MED26
MED15,MED20,0.449,0,0.104,0.116,0.509,0.201,0.147,0.449,interacts-with,MED15 (interacts-with) MED20,FALSE,interacts-with,MED15 (interacts-with) MED20
MED15,MED23,0.502,0,0.273,0.142,0.515,0.221,0.199,0.502,interacts-with,MED15 (interacts-with) MED23,FALSE,interacts-with,MED15 (interacts-with) MED23
MED15,MED29,0.421,0,0.107,0.098,0.511,0.16,0.072,0.421,interacts-with,MED15 (interacts-with) MED29,FALSE,interacts-with,MED15 (interacts-with) MED29
MED16,MED20,0.483,0,0.127,0.152,0.521,0.3,0.012,0.483,interacts-with,MED16 (interacts-with) MED20,FALSE,interacts-with,MED16 (interacts-with) MED20
MED16,MED23,0.547,0,0.457,0.144,0.521,0.299,0.092,0.547,interacts-with,MED16 (interacts-with) MED23,FALSE,interacts-with,MED16 (interacts-with) MED23
MED16,MED17,0.596,0,0.086,0.167,0.546,0.312,0.008,0.596,interacts-with,MED16 (interacts-with) MED17,FALSE,interacts-with,MED16 (interacts-with) MED17
MED16,MED19,0.581,0,0.368,0.211,0.506,0.176,0.013,0.581,interacts-with,MED16 (interacts-with) MED19,FALSE,interacts-with,MED16 (interacts-with) MED19
MED16,MED29,0.568,0,0.05,0.151,0.564,0.291,0.085,0.568,interacts-with,MED16 (interacts-with) MED29,FALSE,interacts-with,MED16 (interacts-with) MED29
MED16,MED24,0.663,0,0.461,0.203,0.561,0.351,0.124,0.663,interacts-with,MED16 (interacts-with) MED24,FALSE,interacts-with,MED16 (interacts-with) MED24
MED16,MED26,0.458,0,0.057,0.26,0.504,0.159,0.225,0.458,interacts-with,MED16 (interacts-with) MED26,FALSE,interacts-with,MED16 (interacts-with) MED26
GTSE1,KIF14,0.491,0,0.074,0.592,0.118,0.176,0.009,0.491,interacts-with,GTSE1 (interacts-with) KIF14,FALSE,interacts-with,GTSE1 (interacts-with) KIF14
GTSE1,LMNB2,0.295,0,0.033,0.498,0.103,0.066,0.036,0.295,interacts-with,GTSE1 (interacts-with) LMNB2,FALSE,interacts-with,GTSE1 (interacts-with) LMNB2
GTSE1,MKI67,0.442,0,0.187,0.583,0.133,0.247,0.001,0.442,interacts-with,GTSE1 (interacts-with) MKI67,FALSE,interacts-with,GTSE1 (interacts-with) MKI67
GTSE1,RACGAP1,0.5,0,0.083,0.605,0.118,0.215,0.092,0.5,interacts-with,GTSE1 (interacts-with) RACGAP1,FALSE,interacts-with,GTSE1 (interacts-with) RACGAP1
GTSE1,POC1A,0.273,0,0.07,0.49,0.131,0.047,0,0.273,interacts-with,GTSE1 (interacts-with) POC1A,FALSE,interacts-with,GTSE1 (interacts-with) POC1A
GTSE1,SGO1,0.462,0,0,0.605,0.132,0.132,0.151,0.462,interacts-with,GTSE1 (interacts-with) SGO1,FALSE,interacts-with,GTSE1 (interacts-with) SGO1
MED17,MED19,0.484,0,0.049,0.213,0.483,0.336,0.119,0.484,interacts-with,MED17 (interacts-with) MED19,FALSE,interacts-with,MED17 (interacts-with) MED19
MED17,MED20,0.698,0,0.307,0.241,0.55,0.358,0.455,0.698,interacts-with,MED17 (interacts-with) MED20,FALSE,interacts-with,MED17 (interacts-with) MED20
GTSE1,SAAL1,0.228,0,0.128,0.422,0.117,0.16,0.036,0.228,interacts-with,GTSE1 (interacts-with) SAAL1,FALSE,interacts-with,GTSE1 (interacts-with) SAAL1
GTSE1,TOP2A,0.431,0,0.035,0.615,0.136,0.211,0.075,0.431,interacts-with,GTSE1 (interacts-with) TOP2A,FALSE,interacts-with,GTSE1 (interacts-with) TOP2A
MED17,MED26,0.612,0,0.235,0.156,0.621,0.142,0.005,0.612,interacts-with,MED17 (interacts-with) MED26,FALSE,interacts-with,MED17 (interacts-with) MED26
MED17,MED29,0.672,0,0.074,0.152,0.589,0.216,0.081,0.672,interacts-with,MED17 (interacts-with) MED29,FALSE,interacts-with,MED17 (interacts-with) MED29
MED17,MED23,0.48,0,0.057,0.287,0.522,0.261,0.124,0.48,interacts-with,MED17 (interacts-with) MED23,FALSE,interacts-with,MED17 (interacts-with) MED23
MED17,MED24,0.699,0,0.107,0.212,0.544,0.43,0,0.699,interacts-with,MED17 (interacts-with) MED24,FALSE,interacts-with,MED17 (interacts-with) MED24
GTSE1,STMN1,0.407,0,0.056,0.556,0.14,0.132,0.009,0.407,interacts-with,GTSE1 (interacts-with) STMN1,FALSE,interacts-with,GTSE1 (interacts-with) STMN1
GTSE1,TPX2,0.514,0,0.041,0.673,0.118,0.35,0.096,0.514,interacts-with,GTSE1 (interacts-with) TPX2,FALSE,interacts-with,GTSE1 (interacts-with) TPX2
GTSE1,TROAP,0.477,0,0.112,0.625,0.172,0.02,0.036,0.477,interacts-with,GTSE1 (interacts-with) TROAP,FALSE,interacts-with,GTSE1 (interacts-with) TROAP
PPP5C,PRRC2A,0.187,0,0.089,0.317,0.208,0.151,0.094,0.187,interacts-with,PPP5C (interacts-with) PRRC2A,FALSE,interacts-with,PPP5C (interacts-with) PRRC2A
MED19,MED23,0.421,0,0.232,0.165,0.457,0.243,0.005,0.421,interacts-with,MED19 (interacts-with) MED23,FALSE,interacts-with,MED19 (interacts-with) MED23
MED19,MED24,0.572,0,0.365,0.206,0.487,0.23,0.012,0.572,interacts-with,MED19 (interacts-with) MED24,FALSE,interacts-with,MED19 (interacts-with) MED24
MED19,MED26,0.397,0,0.05,0.144,0.476,0.175,0.099,0.397,interacts-with,MED19 (interacts-with) MED26,FALSE,interacts-with,MED19 (interacts-with) MED26
MED19,MED20,0.593,0,0.181,0.24,0.53,0.107,0.001,0.593,interacts-with,MED19 (interacts-with) MED20,FALSE,interacts-with,MED19 (interacts-with) MED20
MED19,MED29,0.448,0,0.06,0.196,0.474,0.221,0.008,0.448,interacts-with,MED19 (interacts-with) MED29,FALSE,interacts-with,MED19 (interacts-with) MED29
MED20,MED29,0.587,0,0.046,0.172,0.55,0.296,0,0.587,interacts-with,MED20 (interacts-with) MED29,FALSE,interacts-with,MED20 (interacts-with) MED29
MED20,MED23,0.465,0,0.069,0.195,0.495,0.258,0.013,0.465,interacts-with,MED20 (interacts-with) MED23,FALSE,interacts-with,MED20 (interacts-with) MED23
MED20,MED24,0.644,0,0.087,0.222,0.567,0.281,0.08,0.644,interacts-with,MED20 (interacts-with) MED24,FALSE,interacts-with,MED20 (interacts-with) MED24
MED20,MED26,0.478,0,0.162,0.107,0.513,0.242,0.103,0.478,interacts-with,MED20 (interacts-with) MED26,FALSE,interacts-with,MED20 (interacts-with) MED26
MED23,MED26,0.505,0,0.022,0.144,0.513,0.234,0.218,0.505,interacts-with,MED23 (interacts-with) MED26,FALSE,interacts-with,MED23 (interacts-with) MED26
MED23,MED29,0.488,0,0.014,0.12,0.515,0.3,0.148,0.488,interacts-with,MED23 (interacts-with) MED29,FALSE,interacts-with,MED23 (interacts-with) MED29
MED23,MED24,0.71,0,0.578,0.207,0.573,0.42,0.123,0.71,interacts-with,MED23 (interacts-with) MED24,FALSE,interacts-with,MED23 (interacts-with) MED24
MED24,MED29,0.544,0,0.069,0.136,0.563,0.267,0.079,0.544,interacts-with,MED24 (interacts-with) MED29,FALSE,interacts-with,MED24 (interacts-with) MED29
MED24,MED26,0.493,0,0.051,0.152,0.516,0.256,0.093,0.493,interacts-with,MED24 (interacts-with) MED26,FALSE,interacts-with,MED24 (interacts-with) MED26
MED26,MED29,0.488,0,0.08,0.108,0.515,0.247,0.008,0.488,interacts-with,MED26 (interacts-with) MED29,FALSE,interacts-with,MED26 (interacts-with) MED29
CEP120,MIB1,0.2,0,0.04,0.234,0.388,0.117,0.016,0.2,interacts-with,CEP120 (interacts-with) MIB1,FALSE,interacts-with,CEP120 (interacts-with) MIB1
CEP131,MIB1,0.61,0,0.138,0.2,0.568,0.25,0.094,0.61,interacts-with,CEP131 (interacts-with) MIB1,FALSE,interacts-with,CEP131 (interacts-with) MIB1
CEP131,PCM1,0.651,0,0.056,0.161,0.559,0.348,0.083,0.651,interacts-with,CEP131 (interacts-with) PCM1,FALSE,interacts-with,CEP131 (interacts-with) PCM1
CEP131,SSX2IP,0.532,0,0.091,0.161,0.495,0.199,0.007,0.532,interacts-with,CEP131 (interacts-with) SSX2IP,FALSE,interacts-with,CEP131 (interacts-with) SSX2IP
DSG2,NCKAP1,0.217,0,0.177,0.202,0.241,0.269,0.002,0.217,interacts-with,DSG2 (interacts-with) NCKAP1,FALSE,interacts-with,DSG2 (interacts-with) NCKAP1
CEP170,EPS15,0.204,0,0.04,0.173,0.355,0.175,0.007,0.204,interacts-with,CEP170 (interacts-with) EPS15,FALSE,interacts-with,CEP170 (interacts-with) EPS15
CEP170,MAPRE1,0.339,0,0.1,0.197,0.402,0.337,0.005,0.339,interacts-with,CEP170 (interacts-with) MAPRE1,FALSE,interacts-with,CEP170 (interacts-with) MAPRE1
MEN1,RBBP5,0.479,0,0.03,0.22,0.488,0.266,0.005,0.479,interacts-with,MEN1 (interacts-with) RBBP5,FALSE,interacts-with,MEN1 (interacts-with) RBBP5
PRKAR1A,PRKAR2A,0.497,0,0.078,0.198,0.526,0.227,0.078,0.497,interacts-with,PRKAR1A (interacts-with) PRKAR2A,FALSE,interacts-with,PRKAR1A (interacts-with) PRKAR2A
CERS2,PEX19,0.229,0,0.029,0.192,0.28,0.292,0.008,0.229,interacts-with,CERS2 (interacts-with) PEX19,FALSE,interacts-with,CERS2 (interacts-with) PEX19
CERS2,PIGK,0.378,0,0.162,0.162,0.211,0.266,0.517,0.378,interacts-with,CERS2 (interacts-with) PIGK,FALSE,interacts-with,CERS2 (interacts-with) PIGK
PRKCI,YWHAH,0.412,0,0.051,0.189,0.456,0.198,0.074,0.412,interacts-with,PRKCI (interacts-with) YWHAH,FALSE,interacts-with,PRKCI (interacts-with) YWHAH
PRKDC,RAD50,0.292,0,0.013,0.45,0.21,0.268,0.251,0.292,interacts-with,PRKDC (interacts-with) RAD50,FALSE,interacts-with,PRKDC (interacts-with) RAD50
PRKDC,SIN3A,0.285,0,0.003,0.365,0.196,0.334,0.124,0.285,interacts-with,PRKDC (interacts-with) SIN3A,FALSE,interacts-with,PRKDC (interacts-with) SIN3A
PRKDC,SUDS3,0.2,0,0.011,0.225,0.196,0.234,0.216,0.2,interacts-with,PRKDC (interacts-with) SUDS3,FALSE,interacts-with,PRKDC (interacts-with) SUDS3
PRKDC,TLK1,0.184,0,0.004,0.215,0.197,0.233,0.103,0.184,interacts-with,PRKDC (interacts-with) TLK1,FALSE,interacts-with,PRKDC (interacts-with) TLK1
PRKDC,XRCC5,0.786,0,0.003,0.454,0.673,0.397,0.011,0.786,interacts-with,PRKDC (interacts-with) XRCC5,FALSE,interacts-with,PRKDC (interacts-with) XRCC5
PRKDC,XRCC1,0.252,0,0.012,0.17,0.262,0.352,0.178,0.252,interacts-with,PRKDC (interacts-with) XRCC1,FALSE,interacts-with,PRKDC (interacts-with) XRCC1
MIB1,PCM1,0.608,0,0.024,0.201,0.567,0.21,0.082,0.608,interacts-with,MIB1 (interacts-with) PCM1,FALSE,interacts-with,MIB1 (interacts-with) PCM1
MIB1,SSX2IP,0.413,0,0.018,0.149,0.476,0.101,0.016,0.413,interacts-with,MIB1 (interacts-with) SSX2IP,FALSE,interacts-with,MIB1 (interacts-with) SSX2IP
DYNC1LI1,DYNLT1,0.631,0,0.272,0.249,0.522,0.383,0.011,0.631,interacts-with,DYNC1LI1 (interacts-with) DYNLT1,FALSE,interacts-with,DYNC1LI1 (interacts-with) DYNLT1
DYNC1LI1,IDE,0.202,0,0.001,0.28,0.245,0.134,0.008,0.202,interacts-with,DYNC1LI1 (interacts-with) IDE,FALSE,interacts-with,DYNC1LI1 (interacts-with) IDE
PRPF3,PRPF31,0.819,0,0.095,0.2,0.649,0.277,0.662,0.819,interacts-with,PRPF3 (interacts-with) PRPF31,FALSE,interacts-with,PRPF3 (interacts-with) PRPF31
PRPF3,PRPF4,0.894,0,0.017,0.277,0.779,0.551,0.771,0.894,interacts-with,PRPF3 (interacts-with) PRPF4,FALSE,interacts-with,PRPF3 (interacts-with) PRPF4
PRPF3,PRPF6,0.917,0,0.021,0.243,0.669,0.452,0.621,0.917,interacts-with,PRPF3 (interacts-with) PRPF6,FALSE,interacts-with,PRPF3 (interacts-with) PRPF6
PRPF3,PRPF8,0.846,0,0.086,0.164,0.622,0.452,0.67,0.846,interacts-with,PRPF3 (interacts-with) PRPF8,FALSE,interacts-with,PRPF3 (interacts-with) PRPF8
PRPF3,RBM10,0.34,0,0.012,0.281,0.395,0.415,0.005,0.34,interacts-with,PRPF3 (interacts-with) RBM10,FALSE,interacts-with,PRPF3 (interacts-with) RBM10
BCL11A,SIRT1,0.295,0,0.043,0.068,0.46,0.07,0.146,0.295,interacts-with,BCL11A (interacts-with) SIRT1,FALSE,interacts-with,BCL11A (interacts-with) SIRT1
PRPF3,SART1,0.87,0,0.321,0.276,0.664,0.48,0.676,0.87,interacts-with,PRPF3 (interacts-with) SART1,FALSE,interacts-with,PRPF3 (interacts-with) SART1
PRPF3,SNRNP200,0.57,0,0.115,0.31,0.444,0.534,0.709,0.57,interacts-with,PRPF3 (interacts-with) SNRNP200,FALSE,interacts-with,PRPF3 (interacts-with) SNRNP200
PRPF3,SNRPA,0.537,0,0.081,0.266,0.501,0.304,0.384,0.537,interacts-with,PRPF3 (interacts-with) SNRPA,FALSE,interacts-with,PRPF3 (interacts-with) SNRPA
PRPF3,USP39,0.314,0,0.003,0.191,0.389,0.406,0.004,0.314,interacts-with,PRPF3 (interacts-with) USP39,FALSE,interacts-with,PRPF3 (interacts-with) USP39
PRPF4,PRPF31,0.835,0,0.013,0.298,0.659,0.429,0.63,0.835,interacts-with,PRPF4 (interacts-with) PRPF31,FALSE,interacts-with,PRPF4 (interacts-with) PRPF31
PRPF4,PRPF6,0.843,0,0.058,0.221,0.536,0.399,0.802,0.843,interacts-with,PRPF4 (interacts-with) PRPF6,FALSE,interacts-with,PRPF4 (interacts-with) PRPF6
PRPF4,PRPF8,0.803,0,0.063,0.315,0.533,0.473,0.6,0.803,interacts-with,PRPF4 (interacts-with) PRPF8,FALSE,interacts-with,PRPF4 (interacts-with) PRPF8
CGN,DSG2,0.246,0,0.026,0.157,0.284,0.326,0.29,0.246,interacts-with,CGN (interacts-with) DSG2,FALSE,interacts-with,CGN (interacts-with) DSG2
CGN,TJP1,0.544,0,0.052,0.16,0.527,0.259,0.009,0.544,interacts-with,CGN (interacts-with) TJP1,FALSE,interacts-with,CGN (interacts-with) TJP1
PRPF4,SART1,0.869,0,0.064,0.289,0.689,0.463,0.65,0.869,interacts-with,PRPF4 (interacts-with) SART1,FALSE,interacts-with,PRPF4 (interacts-with) SART1
PRPF4,SNRPA,0.479,0,0.085,0.278,0.458,0.342,0.417,0.479,interacts-with,PRPF4 (interacts-with) SNRPA,FALSE,interacts-with,PRPF4 (interacts-with) SNRPA
DYRK1A,PPM1B,0.191,0,0.025,0.156,0.157,0.092,0.381,0.191,interacts-with,DYRK1A (interacts-with) PPM1B,FALSE,interacts-with,DYRK1A (interacts-with) PPM1B
DYRK1A,SMAD2,0.24,0,0.097,0.35,0.203,0.079,0.075,0.24,interacts-with,DYRK1A (interacts-with) SMAD2,FALSE,interacts-with,DYRK1A (interacts-with) SMAD2
DYRK1A,SMAD4,0.181,0,0.029,0.476,0.143,0.087,0.092,0.181,interacts-with,DYRK1A (interacts-with) SMAD4,FALSE,interacts-with,DYRK1A (interacts-with) SMAD4
PRPF4,USP39,0.41,0,0.112,0.342,0.433,0.443,0.166,0.41,interacts-with,PRPF4 (interacts-with) USP39,FALSE,interacts-with,PRPF4 (interacts-with) USP39
HCFC1,OGT,0.639,0,0.004,0.252,0.594,0.25,0.002,0.639,interacts-with,HCFC1 (interacts-with) OGT,FALSE,interacts-with,HCFC1 (interacts-with) OGT
HCFC1,POGZ,0.225,0,0.012,0.317,0.227,0.347,0.001,0.225,interacts-with,HCFC1 (interacts-with) POGZ,FALSE,interacts-with,HCFC1 (interacts-with) POGZ
HCFC1,SAE1,0.29,0,0.012,0.29,0.307,0.327,0.005,0.29,interacts-with,HCFC1 (interacts-with) SAE1,FALSE,interacts-with,HCFC1 (interacts-with) SAE1
PRPF6,PRPF31,0.821,0,0.285,0.307,0.672,0.421,0.682,0.821,interacts-with,PRPF6 (interacts-with) PRPF31,FALSE,interacts-with,PRPF6 (interacts-with) PRPF31
PRPF6,PRPF8,0.874,0,0.142,0.377,0.696,0.534,0.586,0.874,interacts-with,PRPF6 (interacts-with) PRPF8,FALSE,interacts-with,PRPF6 (interacts-with) PRPF8
PRPF6,RNPC3,0.199,0,0.02,0.111,0.377,0.246,0.009,0.199,interacts-with,PRPF6 (interacts-with) RNPC3,FALSE,interacts-with,PRPF6 (interacts-with) RNPC3
PRPF6,SART1,0.85,0,0.018,0.342,0.707,0.461,0.687,0.85,interacts-with,PRPF6 (interacts-with) SART1,FALSE,interacts-with,PRPF6 (interacts-with) SART1
PRPF6,SNRNP200,0.834,0,0.033,0.494,0.671,0.622,0.674,0.834,interacts-with,PRPF6 (interacts-with) SNRNP200,FALSE,interacts-with,PRPF6 (interacts-with) SNRNP200
PRPF6,SNRPA,0.472,0,0.026,0.219,0.49,0.351,0.413,0.472,interacts-with,PRPF6 (interacts-with) SNRPA,FALSE,interacts-with,PRPF6 (interacts-with) SNRPA
HCFC1,XPO7,0.211,0,0.011,0.242,0.333,0.128,0.008,0.211,interacts-with,HCFC1 (interacts-with) XPO7,FALSE,interacts-with,HCFC1 (interacts-with) XPO7
PRPF6,USP39,0.683,0,0.027,0.301,0.504,0.501,0.004,0.683,interacts-with,PRPF6 (interacts-with) USP39,FALSE,interacts-with,PRPF6 (interacts-with) USP39
MKI67,RACGAP1,0.641,0,0.051,0.588,0.249,0.521,0.005,0.641,interacts-with,MKI67 (interacts-with) RACGAP1,FALSE,interacts-with,MKI67 (interacts-with) RACGAP1
CHAF1B,FANCD2,0.314,0,0.061,0.471,0.233,0.425,0.015,0.314,interacts-with,CHAF1B (interacts-with) FANCD2,FALSE,interacts-with,CHAF1B (interacts-with) FANCD2
PRPF8,PRPF31,0.837,0,0.247,0.27,0.662,0.436,0.634,0.837,interacts-with,PRPF8 (interacts-with) PRPF31,FALSE,interacts-with,PRPF8 (interacts-with) PRPF31
MKI67,SAAL1,0.237,0,0.173,0.34,0.132,0.377,0.036,0.237,interacts-with,MKI67 (interacts-with) SAAL1,FALSE,interacts-with,MKI67 (interacts-with) SAAL1
MKI67,SGO1,0.532,0,0.002,0.554,0.211,0.091,0.004,0.532,interacts-with,MKI67 (interacts-with) SGO1,FALSE,interacts-with,MKI67 (interacts-with) SGO1
CHAF1B,MCM10,0.373,0,0.05,0.491,0.23,0.169,0.113,0.373,interacts-with,CHAF1B (interacts-with) MCM10,FALSE,interacts-with,CHAF1B (interacts-with) MCM10
PRPF8,RBM10,0.354,0,0.005,0.408,0.401,0.391,0.1,0.354,interacts-with,PRPF8 (interacts-with) RBM10,FALSE,interacts-with,PRPF8 (interacts-with) RBM10
MKI67,STMN1,0.37,0,0.094,0.486,0.193,0.409,0.073,0.37,interacts-with,MKI67 (interacts-with) STMN1,FALSE,interacts-with,MKI67 (interacts-with) STMN1
MKI67,TOP2A,0.592,0,0.03,0.604,0.298,0.463,0.002,0.592,interacts-with,MKI67 (interacts-with) TOP2A,FALSE,interacts-with,MKI67 (interacts-with) TOP2A
PRPF8,SART1,0.868,0,0.195,0.293,0.691,0.528,0.683,0.868,interacts-with,PRPF8 (interacts-with) SART1,FALSE,interacts-with,PRPF8 (interacts-with) SART1
MKI67,TPX2,0.622,0,0.079,0.631,0.223,0.452,0.137,0.622,interacts-with,MKI67 (interacts-with) TPX2,FALSE,interacts-with,MKI67 (interacts-with) TPX2
MKI67,TROAP,0.373,0,0.042,0.516,0.235,0.02,0.036,0.373,interacts-with,MKI67 (interacts-with) TROAP,FALSE,interacts-with,MKI67 (interacts-with) TROAP
CHAF1B,POLD1,0.313,0,0.014,0.457,0.194,0.327,0.163,0.313,interacts-with,CHAF1B (interacts-with) POLD1,FALSE,interacts-with,CHAF1B (interacts-with) POLD1
CHAF1B,POLE,0.325,0,0.044,0.487,0.127,0.452,0.004,0.325,interacts-with,CHAF1B (interacts-with) POLE,FALSE,interacts-with,CHAF1B (interacts-with) POLE
CHAF1B,RFC1,0.189,0,0.067,0.266,0.235,0.328,0.015,0.189,interacts-with,CHAF1B (interacts-with) RFC1,FALSE,interacts-with,CHAF1B (interacts-with) RFC1
CHAF1B,RFC4,0.384,0,0.002,0.538,0.218,0.468,0.106,0.384,interacts-with,CHAF1B (interacts-with) RFC4,FALSE,interacts-with,CHAF1B (interacts-with) RFC4
PRPF8,SNRNP200,0.947,0,0.358,0.591,0.721,0.75,0.835,0.947,interacts-with,PRPF8 (interacts-with) SNRNP200,FALSE,interacts-with,PRPF8 (interacts-with) SNRNP200
PRPF8,SNRPA,0.427,0,0.037,0.365,0.431,0.456,0.418,0.427,interacts-with,PRPF8 (interacts-with) SNRPA,FALSE,interacts-with,PRPF8 (interacts-with) SNRPA
MKLN1,RMND5A,0.659,0,0.024,0.144,0.705,0.166,0.404,0.659,interacts-with,MKLN1 (interacts-with) RMND5A,FALSE,interacts-with,MKLN1 (interacts-with) RMND5A
MKLN1,RANBP9,0.638,0,0.015,0.18,0.671,0.23,0.38,0.638,interacts-with,MKLN1 (interacts-with) RANBP9,FALSE,interacts-with,MKLN1 (interacts-with) RANBP9
MKLN1,RANBP10,0.569,0,0.015,0.13,0.572,0.083,0.4,0.569,interacts-with,MKLN1 (interacts-with) RANBP10,FALSE,interacts-with,MKLN1 (interacts-with) RANBP10
